في	in/ within	fī
التمارين	plural of تَمْرِين (tamrīn)	tamārīn
وجوه	plural of وَجْه (wajh)	wujūh
بضعة	a piece of something	biḍʕa
غرام	infatuation/ ardent desire/ passion	ḡarām
المعارف
الاساسي
طفلا
نشرته
مسبق
الفقرة
للتعامل	to do business with one another	taʕāmala
رضوان	verbal noun of رَضِيَ (raḍiya) (form I)	riḍwān or ruḍwān
واستفسارات
بأفضل	elative degree of فَضِيل (faḍīl):	ʔafḍal
أكلات
الكرامة
جماعية
الدوريات
وتحت	below	taḥtu
الأمريكيين
اراضي
ليبي	Libyan	lībiyy
دنيا	this mortal life/ life in this world	dunyā
وجرح
وصاحب	associate/ companion/ comrade/ friend	ṣāḥib
بالقوة	verbal noun of قَوِيَ (qawiya) (form I)	quwwa
البسيطة	feminine singular of بَسِيط (basīṭ)	basīṭa
جمعت		form I
نجمة	singulative of نَجْمٌ (najmun/ “stalkless plant/ herb/ grass”)	/nad͡ʒ.ma/
حكايات	plural of حِكَايَة (ḥikāya)	ḥikāyāt
منير	bright	munīr
بشر	human	bašar
اتخذت		form VIII
رؤوس	plural of رَأْس (raʔs)	ruʔūs
وسام	badge/ decoration/ medal/ order	wisām
للتخلص
الجوائز	plural of جَائِزَة (jāʔiza)	jawāʔiz
العمالية
البيطرية
بالنظر	to look/ to gaze/ to glance	naẓara
ميت	dead	mayyit
الطبعة
ميجا
غانا	Ghana (a country in Africa)	ḡānā or gānā
جزئيا
دعما
السياحه
تطرح	to drop/ to fall	taṭarraḥa
مرتفعة
كيم
تدريجيا
ولكل	each one/ everyone	kull
إقرار	verbal noun of أَقَرَّ (ʔaqarra) (form IV)	ʔiqrār
اتهامات
الإنقاذ	verbal noun of أَنْقَذَ (ʔanqaḏa) (form IV)	ʔinqāḏ
صناعية	feminine singular of صِنَاعِيّ (ṣināʕiyy)	ṣināʕiyya
وتبين	to be or become apparent	tabayyana
يوفنتوس
النظامية
أردني	Jordanian	ʔurduniyy
الحجاب
الصفوف	plural of صَفّ (ṣaff)	ṣufūf
يوجه		form I
اليمنى
مي	a female given name	mayy
لواء	banner/ flag/ standard	liwāʔ
حسم	to cut	ḥasama
ترحيب	verbal noun of رَحَّبَ (raḥḥaba) (form II): the act of welcoming/…	tarḥīb
لمناسبة	verbal noun of نَاسَبَ (nāsaba/ “to suit/ to fit”) (form III)	munāsaba
كيب
ربك	to muddle/ to complicate	rabaka
الجاهزة
استيراد	verbal noun of اِسْتَوْرَدَ (istawrada) (form X)	istīrād
المسئولين
وأصبحت		form IV
سقطت		form I
فيجب		form I
ونسبة	verbal noun of نَسَبَ (nasaba) (form I)	nisba
حازم	firm/ strict/ assertive/ stern/ decisive	ḥāzim
إنا
الميت	dead	mayyit
المواصفات
للمرحلة	phase/ stage	marḥala
حفلات	plural of حَفْلَة (ḥafla)	ḥaflāt
وعشرين	genitive/accusative of عِشْرُونَ (ʕišrūna)	ʕišrīna
نتانياهو
العسكريين
للقاء	verbal noun of لَقِيَ (laqiya) (form I)	liqāʔ
لمركز	place where the flag is planted in the ground	markaz or markiz
ونظام	system	niẓām
الفوتوغرافي
فقالت		qālat
التغيرات
لحين	time/ moment	ḥīn
يسجل		form II
المجتمعية
ويوجد		form I
وصفة	prescription	waṣfa
ستارسات
والنشر	to spread out/ unroll/ exhibit	našara
فازت
المشروحة
نفذت		form I
للمنطقة	zone	minṭaqa
كينيا	Kenya (a country in Africa)	kīniyā or kīnyā
المرورية
حرام	forbidden/ interdicted/ unlawful/ illegitimate/ haram	ḥarām
مميزات
وإيران	Iran (a country in West Asia)	ʔīrān
مسجات
السعوديه
وحركة	instance noun of حَرُكَ (ḥaruka): an instance of movement	ḥaraka
والي		wālī
الرياضى
توضيح	verbal noun of وَضَّحَ (waḍḍaḥa) (form II)	tawḍīḥ
مطر	to rain (“to have rain fall from the sky”)	maṭara
المحتمل
والعجائب	plural of عَجِيبَة (ʕajība)	ʕajāʔib
بايرن
بإجراء	verbal noun of أَجْرَى (ʔajrā) (form IV)	ʔijrāʔ
والمتوسطة	feminine singular of مُتَوَسِّط (mutawassiṭ)	mutawassiṭa
مايخص
قطري	Qatari	qaṭariyy
البرمجيات
استجابة
الشرب	to drink	šariba
موديلات
عبادة	verbal noun of عَبَدَ (ʕabada) (form I)	ʕibāda
النظارات	plural of نَظَّارَة (naẓẓāra)	naẓẓārāt
الأبناء	a colony in early Islamic Yemen descended from Sasanian Persian…	al-ʔabnāʔ
المطروحة
الفيديوهات
طبقة	layer/ stratum/ level	ṭabaqa
بهدفين
بيده
لازم	necessary/ urgent/ unavoidable	lāzim
دمياط	Damietta (a port city in northern Egypt)	dimyāṭ
الأولمبية
همسات
بمستوى	level	mustawan
جفاف	verbal noun of جَفَّ (jaffa) (form I)	jafāf
يخضع		form I
أرمينيا	Armenia (a country in Europe and Asia)	ʔarmīniyā
ومعرفة	verbal noun of عَرَفَ (ʕarafa) (form I)	maʕrifa
اعتبرت
كركوك
والمغرب	Maghreb (the predominantly Arabic-speaking geographic region…	al-maḡrib
العثماني
العسكرى
الورد	to come/ to arrive	warada
اخي
جرافيك
قادرا
بمساعدة	verbal noun of سَاعَدَ (sāʕada) (form III)	musāʕada
وغرائب	plural of غَرِيبَة (ḡarība)	ḡarāʔib
مجرى	gutter/ channel/ canalization	majran
قيمته
وقوله
التنوع
للسلطة	power/ strength	sulṭa
الضحية	victim	ḍaḥiyya
القطار	row	qiṭār
ولذا	this	ḏā
الدريم
خيرية	charity (organization)	ḵayriyya
طفلك
للإعلان	verbal noun of أَعْلَنَ (ʔaʕlana) (form IV)	ʔiʕlān
والشرطة	vanguard/ choice men of the army	/ʃur.tˤa/
الدولارات	plural of دُولَار (dōlār)	dūlārāt
المثيرة	feminine singular of مُثِير (muṯīr)	muṯīra
جنب	to turn aside/ decline	janaba
الشفرات
كأنه		form IV
اسيا
تومي
الاكاديمية
عميق	deep	ʕamīq
يتغير		form V
لتعليم	verbal noun of عَلَّمَ (ʕallama) (form II)	taʕlīm
الغاء
أمره
ساو		sāwi
والقضاء	verbal noun of قَضَى (qaḍā) (form I)	qaḍāʔ
أثاث	furniture	ʔaṯāṯ
إل	god/ deity/ God/ El	ʔill or ʔil
بالجملة	series/ whole range/ collectivity	jumla
السائق	driving	sāʔiq
الاستماع
رابعة
الاكبر		ukbur
الموظف	employee	muwaẓẓaf
الصوتي
نوعه
العقدة	knot	ʕuqda
السلمي
صراحة	verbal noun of صَرُحَ (ṣaruḥa) (form I)	ṣarāḥa
عزاء	mourning	ʕazāʔ
صحف	to write disambiguating marks in script erroneously/ to mishit…	ṣaḥḥafa
للجوال	who roams about much	jawwāl
القبيلة	tribe	qabīla
ايجابية
الروس
النباتي
مقعد	seat	maqʕad or miqʕad
عماني	Omani	ʕumāniyy
لإتاحة
نصب	to set up/ to lay/ to erect/ to raise/ to build	naṣaba
وفيها
ادخل		udḵul
الغالب
ابرز		ubruz
روسي	Russian	rūsiyy
الاجنبيه
والعديد
العزاء	mourning	ʕazāʔ
الإصدار	verbal noun of أَصْدَرَ (ʔaṣdara) (form IV)	ʔiṣdār
المئات	plural of مِئَة (miʔa)	miʔāt
معاملة	verbal noun of عَامَلَ (ʕāmala) (form III)	muʕāmala
يعزز
والشروحات
النوعية	specific character/ nature/ quality	nawʕiyya
الذرية
شدة	verbal noun of شَدَّ (šadda)	šidda
مد	to extend/ to stretch/ to spread out/ to lay out	madda
فيزياء	physics	fīziyāʔ
المختص	specialized	muḵtaṣṣ
وتلك	feminine singular of ذٰلِكَ (ḏālika/ “that”)	tilka
ارتفاعا
الضمانات
الخريجين
والعرب	to translate into Arabic	ʕarraba
اله
مقام	verbal noun of قَامَ (qāma) (form I)	maqām
مؤهلا
المعالم	plural of مَعْلَم (maʕlam)	maʕālim
مسائل	active participle of سَاءَلَ (sāʔala)	musāʔil
لحظات	plural of لَحْظَة (laḥẓa)	laḥaẓāt
وماذا	what	māḏā
السنغال	Senegal (a country in Africa)	as-siniḡāl
المبيدات
بروكسل	Brussels (the capital city of Belgium)	brūksil or broksel
سكن	to be still/ to be tranquil/ to be peaceful	sakana
السليم	safe/ secure	salīm
نظارات	plural of نَظَّارَة (naẓẓāra)	naẓẓārāt
الطرقات
والإقتراحات
خوف	verbal noun of خَافَ (ḵāfa) (form I)	ḵawf
تأخير	verbal noun of أَخَّرَ (ʔaḵḵara) (form II)	taʔḵīr
سترونج
الدوام
موريشيوس
كتابا
المشاركون
الانتصار	verbal noun of اِنْتَصَرَ (intaṣara) (form VIII)	intiṣār
الكلاب
محدود	bounded/ bordered (by)	maḥdūd
صريحة	feminine singular of صَرِيح (ṣarīḥ)	ṣarīḥa
نعيم	bliss/ delight	naʕīm
مقرر	reporter	muqarrir
بدعوة	verbal noun of دَعَا (daʕā) (form I)	daʕwa
المنصب	post/ position/ office	manṣib
ميونيخ
المخطوطات
مو	meu/ baldmoney (Meum athamanticum)	mū
العدسة	lentil	/ʕa.da.sa/
وقطع	to cut/ to break	qaṭaʕa
الكناري
بالدرجة	stair/ step	daraja
مره
البلديات
سواتر
انعدام
السبيل	way/ path/ road	sabīl
الصلب
وأعلنت		form IV
عينه
السيئة	feminine singular of سَيِّئ (sayyiʔ)	sayyiʔa
اللوحة	plank/ board/ blackboard/ slate/ sheet	lawḥa
والفنانين
أسفر	to glow/ to shine/ to beam	ʔasfara
المتميز	active participle of تَمَيَّزَ (tamayyaza/ “to be distinguished”)	mutamayyiz
عال	to provide for/ to sustain	ʕāla
خمسين	genitive/accusative of خَمْسُونَ (ḵamsūna)	ḵamsīna
وجوب	verbal noun of وَجَبَ (wajaba) (form I)	wujūb
للسيدات	plural of سَيِّدَة (sayyida)	sayyidāt
استثنائية
الهدايا
تستعد		form X
الدرقية
الاعتقاد
الروحية
المطاف
المصانع	plural of مَصْنَع (maṣnaʕ)	maṣāniʕ
مبكرا	early	mubakkiran
والشتائم
الجدار	wall (division in a building)	jidār
مكتوبة	feminine singular of مَكْتُوب (maktūb)	maktūba
الودية
صفات	plural of صِفَة (ṣifa)	ṣifāt
وضوح	verbal noun of وَضَحَ (waḍaḥa) (form I)	wuḍūḥ
عشية	evening/ nightfall	ʕašiyya
موقعك
الطابع	postage stamp	ṭābaʕ or ṭābiʕ
الرسل
زمنية	temporality (the quality of relating to time)	zamaniyya
شعوب	plural of شَعْب (šaʕb)	šuʕūb
الالهية
التشكيلي
معمر
حمامات	plural of حَمَّام (ḥammām)	ḥammāmāt
وال	wali/ regent/ governor/ prefect of a province (وِلَايَة (wilāya))	wālin
نهائيات
اعتداء	verbal noun of اِعْتَدَى (iʕtadā) (form VIII)	iʕtidāʔ
المري
القلعة	fortress/ fort/ castle	qalʕa or qilʕa
ووقف	to come to a stop/ to come to a standstill	waqafa
فقدت		form I
بالغ	to exaggerate	bālaḡa
العثمانية
اقتحام
شئون
الأشجار
التشغيلية
موجهة
الصعوبات
يقتل		form I
للمملكة	kingdom	mamlaka
الفائز
الأرز
ميقاتي
موقفه
التخرج	to graduate (from)	taḵarraja
يوافق		form III
عذاب	torture/ torment/ punishment	ʕaḏāb
محارم	plural of مَحْرَمَة (maḥrama)	maḥārim
بالحق	to be true/ to be confirmed	ḥaqqa
الورقة	leaf	/wa.ra.qa/
جنوبي	southern	janūbiyy
ينقل		form I
الحادثة	a thing that springs up or happens	ḥādiṯa
اعلام
الانتخابي
تراجعت		form VI
لجامعة	university/ academy	jāmiʕa
الصيفي
جهاد	verbal noun of جَاهَدَ (jāhada) (form III)	jihād
الشاشات
ابداعات
والكثير	many/ much/ numerous	kaṯīr
البحريني	Bahraini	baḥrayniyy
الطوائف
بجده
الأغنية	song/ melody/ tune	ʔuḡniyya
نقاشات
شفيق
ذهبية	feminine singular of ذَهَبِيّ (ḏahabiyy)	ḏahabiyya
والمياه	plural of مَاء (māʔ)	miyāh
تدهور	to decline/ to be worsen/ to collapse/ to fall/ to deteriorate	tadahwara
للفنان	artist	fannān
البلاك
الفوري
الامتحان	verbal noun of اِمْتَحَنَ (imtaḥana) (form VIII)	imtiḥān
السلف
حداد	verbal noun of حَدَّ (ḥadda) (form I)	ḥidād
مادية	materialism (concern over material possessions)	māddiyya
المعالجة	verbal noun of عَالَجَ (ʕālaja).	muʕālaja
والجوال	who roams about much	jawwāl
جنة	garden	janna
الخلافة
أبعد	elative degree of بَعِيد (baʕīd):	ʔabʕad
نتحدث		form V
تفضل	to have the kindness of/ be so kind/ deign/ condescend	tafaḍḍala
عدوان	assault/ aggression	ʕudwān
الشافعي	al-Shafi'i (a muslim theologian who is one of the four great Sunni…	aš-šāfiʕiyy
الوزارية
هونغ
بالاشتراك
شاحنة	truck/ lorry	šāḥina
استثمارية
الحاكمة
ورواج
الهادفة
أجد	elative degree of جَدِيد (jadīd)	ʔajadd
بصدد
والمعدات	equipment	muʕaddāt
أناشيد	plural of نَشِيد (našīd)	ʔanāšīd
الطاولة	table	ṭāwila
ديني	religious/ related to religion	dīniyy
الأمثل
فعليا	substantially/ effectively/ de facto/ actually	fiʕliyyan
تناولت
للغة	language	luḡa
فيتنام	Vietnam (a country in Southeast Asia)	viyitnām or vyitnām
اختصاصي
ليسوا		form I
أولياء	plural of وَلِيّ (waliyy)	ʔawliyāʔ
نبراس	lamp/ lantern/ luminary	nibrās
وانت
المفروض
الرؤى
الشبهات
النبات
جذب	to draw/ to pull/ to remove	jaḏaba
أحزاب	plural of حِزْب (ḥizb)	ʔaḥzāb
وتشير		form IV
الدكتوراه
الرئيسة
الشريك	a sharer	šarīk
اللاتينية
أيدي
فلاديمير	a male given name from Russian/ equivalent to English Vladimir	vladīmir or fladīmir
حيفا	Haifa (a port city in northern Israel)	ḥayfā
العملاق
اتفق	to agree/ to come to an agreement	ittafaqa
مناقشات
تقليل	verbal noun of قَلَّلَ (qallala) (form II)	taqlīl
رشح	to sweat	rašaḥa
بيل
افاد
قائم	active participle of قَامَ (qāma)	qāʔim
بلقب	nickname	laqab
محلي	local/ regional/ native/ national	maḥalliyy
تحريك	verbal noun of حَرَّكَ (ḥarraka) (form II)	taḥrīk
يقتصر
الاستجابة
دا
بأس	verbal noun of بَؤُسَ (baʔusa) (form I)	baʔs
مريض	sick/ ill (in poor health)	marīḍ
سوني
صاروخ	rocket	ṣārūḵ
العصبية
متنقلة
ودعت		daʕat
مضمون	content	maḍmūn
الاقليمية
فيكون		form I
الارهابية
الشبابية
السويدي
تركز		form II
نضع		form I
القضائي
التشكيلية
بركة	bliss/ blessing/ boon	baraka
للجمعية	association/ club/ society/ assembly	jamʕiyya
الكورة	a type of administrative division/ translated as “district” or…	kūra
إحداث	verbal noun of أَحْدَثَ (ʔaḥdaṯa) (form IV)	ʔiḥdāṯ
طنجة	Tangier (a port city/ the capital of the region of…	ṭanja
تأييد	verbal noun of أَيَّدَ (ʔayyada) (form II)	taʔyīd
الأرباح	plural of رِبْح (ribḥ)	ʔarbāḥ
ارسل
الدعوية
تعالج	to receive medical treatment/ therapy	taʕālaja
جماعات
حنان	verbal noun of حَنَّ (ḥanna) (form I)	ḥanān
ويبلغ		form I
لتصل	verbal noun of تَصَلَّى (taṣallā) (form V)	taṣallin
تداعيات
الببغاء
توضح	to become elucidated	tawaḍḍaḥa
التصفيات
أعقاب	plural of عَقِب (ʕaqib)	ʔaʕqāb
النضال
سيدتي
والقوات	plural of قُوَّة (quwwa)	quwwāt
العالميه
فوركس
اكشن
والحرية	verbal noun of حَرَّ (ḥarra) (form I)	ḥurriyya
الجغرافية
الداعية
استشارة	verbal noun of اِسْتَشَارَ (istašāra) (form X)	istišāra
الزقازيق
الحديقة	garden (decorative piece of land outside)	ḥadīqa
ولدت		form I
القرآنية	Quranism	al-qurʔāniyya
اجتمع	to meet/ to meet up/ to gather/ to get together/ to have a meeting	ijtamaʕa
جعله
بوجه	to be a man of distinction/ to be notable	wajuha
أطباق	plural of طَبَق (ṭabaq)	ʔaṭbāq
مسؤولي
تقضي		form I
انتصار	verbal noun of اِنْتَصَرَ (intaṣara) (form VIII)	intiṣār
الاسود
الفراغ
النزاعات
مواصفات
يرون		form I
هيونداي
كونا		form I
صوتا
لقطاع	section/ sector	qiṭāʕ
يستعد		form X
سكك	plural of سِكَّة (sikka)	sikak
لعلم	to know/ to have knowledge/ to be cognizant/ to be aware	ʕalima
المتقدم
المالك	owning/ possessing/ holding	mālik
الجذب	to draw/ to pull/ to remove	jaḏaba
لنتأكد
مخاوف	plural of مَخَافَةٌ (maḵāfatun)	maḵāwif
معناه
لتشكيل	verbal noun of شَكَّلَ (šakkala) (form II)	taškīl
فينا	Vienna (the capital city of Austria)	fiyennā or viyannā or viyennā or fiyannā
لكى
الوفاة	death	wafāh
تحية	verbal noun of حَيَّا (ḥayyā) (form II)	taḥiyya
البطاقات	plural of بِطَاقَة (biṭāqa)	biṭāqāt
المحلة
والكمبيوتر	computer	kambyūtar
النفوس	plural of نَفْس (nafs)	nufūs
عجلة	verbal noun of عَجِلَ (ʕajila) (form I)	ʕajala
موقعه
أعطى	to give	ʔaʕṭā
التشريع
لعقد	to tie/ knit/ make a knot	ʕaqada
عمليه
القصيدة	poem	qaṣīda
الشمري
السمع	to hear	samiʕa
كجم
والالعاب
خارطة	synonym of خَرِيطَة (ḵarīṭa/ “map”)	ḵāriṭa
المكتوبة	feminine singular of مَكْتُوب (maktūb)	maktūba
هجوما
يفهم		form I
أشعار	plural of شِعْر (šiʕr)	ʔašʕār
اندلاع
يمارس		form III
قاد	to lead	qāda
دفاتر	plural of دَفْتَر (daftar)	dafātir
المغربى
سماء	the sky/skies/ the heaven(s) (figurative/ simile)/ space/ the…	samāʔ
النصائح	plural of نَصِيحَة (naṣīḥa)
التقاعد
يومنا
للشرطة	vanguard/ choice men of the army	/ʃur.tˤa/
استخدمت		form X
توازن	to be balanced/ in an equilibrium	tawāzana
كوستاريكا	Costa Rica (a country in Central America)	kostarīkā
يرتفع		form VIII
مركب	anything upon which one rides	markab
للزواج	marriage	zawāj
المحور	axis/ pivot	miḥwar
وسلامة	verbal noun of سَلِمَ (salima) (form I)	salāma
تدرس		form I
الانتشار	verbal noun of اِنْتَشَرَ (intašara) (form VIII)	intišār
المرصد
بحي	alternative form of حَيِيَ (ḥayiya/ “to live”)	ḥayya
التوبة
شرعي	lawful/ legal	šarʕiyy
شرائح
الجزاء	verbal noun of جَزَى (jazā/ “to repay/ reward/ punish”) (form I)	jazāʔ
مذهب	verbal noun of ذَهَبَ (ḏahaba) (form I)	maḏhab
أب	father	ʔab
وحزب	political party	ḥizb
مشعل	torch	mašʕal
استشاري
والحلول	verbal noun of حَلَّ (ḥalla) (form I)	ḥulūl
المارونية
قادمة	female equivalent of قَادِم (qādim)	qādima
الحضاري
جولات
مرارا
الصفات	plural of صِفَة (ṣifa)	ṣifāt
السمك
المرسوم	passive participle of رَسَمَ (rasama)	/mar.suːm/
يدوية	feminine singular of يَدَوِيّ (yadawiyy)	yadawiyya
الكردستاني
اميركا
ونقارن
الناتجة
عملهم
عمالة
الحذر	to watch out	ḥaḏira
لتأمين	verbal noun of أَمَّنَ (ʔammana/ “to reassure/ ensure/ insure/…	taʔmīn
ومعدات	equipment	muʕaddāt
الميكانيكية
شقتك
روسية	a people inhabiting northeast Europe in the Middle Ages often…	rūsiyya
برقم	numeral/ number/ figure	raqm
وكم	how many?/ how much? (used with accusative noun in singular/ if…	kam
الجدير
والآخر	last/ ultimate/ utmost/ extreme	ʔāḵir
الخلفية	background	ḵalfiyya
أدوية	plural of دَوَاء (dawāʔ)	ʔadwiya
لاختيار	verbal noun of اِخْتَارَ (iḵtāra) (form VIII)	iḵtiyār
بلادهم
تفهم	to understand gradually/ to grasp/ to comprehend	tafahhama
كيا	O/ hey/ you/ vocative particle preceding a noun used in direct…	yā
النصرة
الطلابية
يتمثل		form V
الإيجابية	positivity/ positivism/ optimism	ʔījābiyya
الآونة
صيد	verbal noun of صَادَ (ṣāda/ “to hunt”) (form I)	ṣayd
للمقدسات
النهوض
نسبته
الإعدادي
رصيده
الموحدة
يقدمها
قنبلة	bomb/ grenade	qunbula
الخطيرة	feminine singular of خَطِير (ḵaṭīr)	ḵaṭīra
متحدث	spokesman/ speaker	mutaḥaddiṯ
توبيكات
نزع	to take away/ to remove/ to withdraw/ to pull out/ to pull away/…	nazaʕa
كريمة
ساعتين
الدردشة
وتونس	Tunisia (a country in North Africa)	tūnus or tūnis
حملت		form I
تنشيط	verbal noun of نَشَّطَ (naššaṭa) (form II)	tanšīṭ
الأدلة	plural of دَلِيل (dalīl)	ʔadilla
باك	active participle of بَكَى (bakā): weeping/ crying	bākin
الحضارات
تعديلات	plural of تَعْدِيل (taʕdīl)	taʕdīlāt
المناصب
التدريبات	plural of تَدْرِيب (tadrīb)	tadrībāt
الثورية
حلها
العطاء	a given thing/ gift/ present	ʕaṭāʔ
التحويل	verbal noun of حَوَّلَ (ḥawwala) (form II)	taḥwīl
يحاولون		form III
انضم	to be put together/ to be gathered/ to be collected/ to be contracted	inḍamma
موازنة	verbal noun of وَازَنَ (wāzana) (form III)	muwāzana
الغاية	end	ḡāya
ويقال		form I
أنور	elative degree of نَيِّر (nayyir)	ʔanwar
فصائل
ويضم		form I
فلو	foal/ colt (a preadult horse or ass which has been weaned)	filw or faluww or fuluww
الحوارات
ليو
بالجسم	to become bulky or massive/ to swell/ to enlarge	jasuma
المليون	million	malyūn or milyūn
إلخ	etc.	ʔilaḵ or ʔilaḵḵ
والإبداع	verbal noun of أَبْدَعَ (ʔabdaʕa) (form IV)	ʔibdāʕ
النرويج	Norway (a country in Scandinavia in Northern Europe)	an-nurwīj
اتهم	to charge/ to accuse/ to impeach	ittahama
بيتر
افب
كيلومتر	kilometre	kīlomitr or kilomitr or kilumitr
الماضيين
الورق	foliage/ leaves	/wa.raq/
مسح	to stroke with the hand or similar/ to wipe off/ to sweep	masaḥa
الخزانات	plural of خِزَانَة (ḵizāna)	ḵizānāt
العظيمة	feminine singular of عَظِيم (ʕaẓīm)	ʕaẓīma
القاعة	hall/ vestibule/ corridor	qāʕa
بالمنتدى	place whither the people are called together/ gathering place/…	muntadan
والاجنبية
الاستعمار
للوطن	nation	waṭan
الدافع
وأخذ	to take	ʔaḵaḏa
رفح
تكتب		form I
طالبت
العتيبي
التهديدات
رمضانية
توافر	to be or become abundant/ plentiful	tawāfara
عملي	practical/ pragmatic	ʕamaliyy
بدرجة	stair/ step	daraja
حان	to approach	ḥāna
واعلن
مخالفات
الزجاج
الاب
نستخدم		form X
الناشئة
وصوله
وبريطانيا	Britain (the United Kingdom/ a kingdom and country in Northern…	birīṭāniyā
المواجهات
زفاف	verbal noun of زَفَّ (zaffa) (form I)	zifāf
ليبرمان
الظاهر
بأول	first	ʔawwal
ضخم	to be or become big/ bulky/ voluminous	ḍaḵuma
مجهولة	feminine singular of مَجْهُول (majhūl)	majhūla
سياحي	tourist	siyāḥiyy
فتفضل	to have the kindness of/ be so kind/ deign/ condescend	tafaḍḍala
شكاوى	plural of شَكْوًى (šakwan)	šakāwā
لحود
ويقدم		form I
أوسع	elative degree of وَاسِع (wāsiʕ):	ʔawsaʕ
نهار	daytime/ day	nahār
لتغيير	verbal noun of غَيَّرَ (ḡayyara) (form II)	taḡyīr
العشرة	ten	ʕašara
زراعية	female equivalent of زِرَاعِيّ (zirāʕiyy)	zirāʕiyya
الفيفا
لإنهاء	verbal noun of أَنْهَى (ʔanhā) (form IV)	ʔinhāʔ
جنس	a kind/ a variety/ a breed	jins
مزارع	farmer
الربط	to tie up/ to bind	rabaṭa
روبرت	a male given name from English	rōbert
الكثيرون	masculine plural of كَثِير (kaṯīr)	kaṯīrūn
قلنا		form I
المنظومة	system	manẓūma
وأفضل	elative degree of فَضِيل (faḍīl):	ʔafḍal
والمعرفة	verbal noun of عَرَفَ (ʕarafa) (form I)	maʕrifa
الفيصل	arbiter	fayṣal
ضيق	narrow/ strait	ḍayyiq
الاطباء	plural of طَبِيب (ṭabīb)	ʔaṭibbāʔ
اللحم	flesh/ meat	laḥm
متوفر	active participle of تَوَفَّرَ (tawaffara).	mutawaffir
المطلقة
تعيد		form II
بولندا	Poland (a country in Central Europe)	bulandā
والمطاعم	plural of مَطْعَم (maṭʕam)	maṭāʕim
عروس	bridegroom	ʕarūs
الدولتين
وضمان	verbal noun of ضَمِنَ (ḍamina) (form I)	ḍamān
قبله
لرئاسة	verbal noun of رَأَسَ (raʔasa) (form I)	riʔāsa
العاطفية
الجهوي
الانتباه
صالحة	feminine singular of صَالِح (ṣāliḥ)	ṣāliḥa
الفيوم	Faiyum (a city in Egypt/ near Lake Moeris).	al-fayyūm
وعي	verbal noun of وَعَى (waʕā) (form I)	waʕy
مسجلا
نجاحا
جاد	serious	jādd
الحلف	to swear	ḥalafa
والدين	informal dual of وَالِد (wālid)	wālidayn
الرقة	Raqqa (a city in Syria located on the northeast bank of the…	ar-raqqa
تفكر	to ponder/ to reflect	tafakkara
اطباق
التنقل	to move around/ to drive/ to commute/ to navigate	tanaqqala
الين	Oblique form/ i.e. genitive and accusative form/ of ـُونَ (-ūna/…	-īna
السويداء	Suwayda (a city in southern Syria)
السنيورة
أساتذة	plural of أُسْتَاذ (ʔustāḏ)	ʔasātiḏa
حسان	a male given name/ Hassan	ḥassān
ملاك	plural of مَالِك (mālik)	mullāk
فوزي	a male given name/ Fawzi/ meaning “victorious/ triumphant”/…	fawziyy
الجندي	soldier	jundiyy
البقاع
أجمع	to unanimously agree	ʔajmaʕa
دفعت		form I
كلامه
المحرك	active participle of حَرَّكَ (ḥarraka)	muḥarrik
المستعملة
للمطالبة	verbal noun of طَالَبَ (ṭālaba) (form III)	muṭālaba
بلدنا		baludnā
الفتوى
تتغير		form V
مازن
بار	to perish	bāra
وشكرا	thanks	šukran
تجاوزت
الأعراض	plural of عَرْض (ʕarḍ)	ʔaʕrāḍ
الاشغال
رحب	to be wide/ to be spacious/ to be roomy	raḥiba
وقاية	verbal noun of وَقَى (waqā) (form I)	wiqāya
بدولة	state (sovereign polity)	dawla
الشغل	to occupy/ to keep busy	šaḡala
جامعات	plural of جَامِعَة (jāmiʕa)	jāmiʕāt
والتسويق	verbal noun of سَوَّقَ (sawwaqa) (form II)	taswīq
الربيعي
الترويج
التأهل
الرسيفرات
بعدة	appliance/ fixture/ technical provision	ʕudda
أظهر	to show	ʔaẓhara
أقلام	plural of قَلَم (qalam)	ʔaqlām
للعلاج	verbal noun of عَالَجَ (ʕālaja) (form III)	ʕilāj
رمضانيات
تتحرك
كول
تزداد		form VIII
الاهداف
المصريه
الجارى
والإمارات	ellipsis of الْإِمَارَات الْعَرَبِيَّة الْمُتَّحِدَة (al-ʔimārāt…	al-ʔimārāt
لاي
ومجموعة	collection/ compilation/ anthology	majmūʕa
مقاول
فيتامين	vitamin	fītāmīn
عمري		ʕammirī
لفت	to bend/ to crook	lafata
مئوية
اخيرا
أشعر	to let know/ to notify/ to inform/ to give notice	ʔašʕara
الثلاثي	consisting of three things/ triple/ threefold/ three-	ṯulāṯiyy
والاستثمار	verbal noun of اِسْتَثْمَرَ (istaṯmara) (form X)	istiṯmār
الإقتصاد
التأليف	verbal noun of أَلَّفَ (ʔallafa) (form II)	taʔlīf
ضعيف	weak	ḍaʕīf
هدفها
آلات	plural of آلَة (ʔāla)	ʔālāt
ليتم	to be or become an orphan	yatima
ركلة	a kick	rakla
المحطات	plural of مَحَطَّة (maḥaṭṭa)	maḥaṭṭāt
الرحم
يسأل		form I
الأمام	before/ in front of/ in the presence of	ʔamāma
خليجية
المتخصصين
بشركة	verbal noun of شَرِكَ (šarika) (form I)	šarika or širka
الأئمة
بخلاف	verbal noun of خَالَفَ (ḵālafa) (form III)	ḵilāf
قلوبنا
العنايه
الفضائى
المنتخبات
أمطار	plural of مَطَر (maṭar)	ʔamṭār
يغير		form II
