何	what
張り込
兄者
玉皇	the Jade Emperor
達之	a male given name
農地	agricultural land
湿地	shimeji mushroom
肥大	stout/ fat
元締め	treasurer
幾分	somewhat
天賦	one's natural talent
乗っか
物証	material evidence
二鳥
今夜中
格言	proverb/ saying/ maxim
四肢	one's four limbs/ hands and feet/ extremities
金持
内障	one of the visual afflictions that occurs inside the eyeball and…
ミレニアム	millennium
派兵	dispatch of troops
校内	the interior of a school:
さあて
因縁	chance/ opportunity
植木	a planted tree or shrub/ as in a garden or pot
投棄	dumping/ disposal/ throwing away/ abandonment
二三	two or three/ a few
あごひげ	顎鬚/ 顎髭/ 顎ひげ: beard/ goatee (facial hair)
楽天	optimism
分から
公民	citizen
全貌	the whole picture/ the full story
前立
出品	putting a product on display
式場	ceremonial hall
瀬戸	strait or channel
基板	circuit board
フェアー
南軍
専属	exclusive
吉報	good news
的外れ	irrelevance/ wild
虽然
アーヴ
エステファニア
垂直	vertical/ perpendicular
乙事
味わい	savor/ relish/ enjoy the taste of
同房
光り輝
著し	clear/ obvious/ conspicuous
帝国軍
スケアラー
メリーアン
重た
理沙	a female given name
庶民	commoners/ common people
アスター
有り金	money at hand
質素	plain/ ordinary
躍起	desperate/ frantic/ excited/ worked up/ heated/ eager
先方	the other party
経度	a longitude (angular distance)
引っか
定理	theorem
立腹	being annoyed at
分署
作文	writing/ essay/ composition
三振	a strikeout
卓球	table tennis
中和	neutralization
一つ	one thing
集金	collection of money
元彼
打算	calculation
取り入
頑張り	to work hard and do one's best to achieve a goal
両名
不服	dissatisfied
支柱	brace/ prop/ strut/ supporting pillar/ supporting column/ post
休業	temporary business closure
裏手	back / behind of a building
アーソ
望月	full moon
内藤	a surname
追っ手	a pursuer
入部	joining a club
野田	Noda (a city in Chiba Prefecture/ Japan)
決議	resolution
三脚	tripod
降格	demotion
千里	1000 li/ or 500 km
頭領
今時	these days
乱闘	fray/ free-for-all/ confused fighting/ wild combat/ melee
使い物	item with utility
保養	comfort/ nurture/ recuperation/ rest
消極	passive/ reluctant to pursue one's own goals or express one's own…
回し	turn/ spin/ rotate
引き剥が
アサシン
籠城	to defend in a fort/ to garrison
不慣れ	inexperienced/ unfamiliar
手詰まり	at a dead end/ in an impasse
行き詰まり	dead end (of a road/ street/ etc.)
押し入り
必殺	lethality/ deadliness
立方	The third power of a number etc./ cube.
臣下	retainer/ subject/ liege/ vassal
重病	serious illness/ severe disease
柏田
公安	public safety
青白
安寧	peacefulness/ tranquillity
所以	reason/ grounds
解き明か
撃ち殺せ
近接	approaching/ coming closer
撲殺	beating to death
入り込め	force into
中部	middle part/ central part
期日	a scheduled day for an event/ a date
奥田	Okuda (neighborhoods in Japan):
惨劇	tragedy
凡人	an ordinary person
終戦	end of war/ war's end
女史	The title of one type of lady-in-waiting. During the Zhou Dynasty/…
ファラミア
クローディア
可燃	being inflammable/ combustible
書き込み	fill out (a form)
支出	expenditure
編み物	knitwear
前夫	one's ex-husband/ former husband separated by divorce
思い付き	to think of/ to hit upon
苦戦	close fight
周瑜
査問
胞子	spore (reproductive particle)
八重子
時機	opportunity/ chance
種子	synonym of 種 (tane/ “seed”) (fertilized grain)
勘当	disinheritance
有色	being colored (having a color)
受け持
献金	donation
比類	parallel/ equal/ match
ありつけ	get/ obtain/ secure/ pick up
ティア
改修	renovation
取り締まり	control/ management
足労	the trouble of going somewhere
書記	secretary
張り裂け	to be torn apart/ to split open
全盛	height of prosperity
絵の具	paints/ coloring material (of an artist)
売りつけ
竹内	a surname
乱交	orgy/ promiscuity
下がり	to hang (down)
月光	moonlight/ moonbeam
屈強	sturdy/ strong/ brawny
迫力	force/ punch/ power/ impact
エリアス
堅実	steady/ sound/ reliable/ solid
補聴
神田	territories controlled by Shinto shrine.
目星
都督	an official military title in ancient China
醸造	brewing
不浄	unclean (non-physical)
同点	having the same amount of points
入団	enrollment
本院
等分	division into equal parts
決済	settlement of payment
名門	distinguished family/ noble family
青酸	synonym of シアン化水素酸 (shian-ka suisosan/ “hydrocyanic acid”)/…
実刑	jail sentence/ gaol sentence/ prison sentence (imprisonment…
対称	symmetric
辞令	letter of appointment
体裁	form/ style
空洞	a hollow
送迎	seeing off and meeting
返金	return of money/ refund
信久
予行	rehearsal
飲み屋	bar/ pub
老後	old age/ postretirement years/ golden years/ aging
法師	a Buddhist priest or monk/ a bonze
水兵	a sailor
水たまり	puddle (a small pool of water)
特売	special sale/ bargain sale
あぅ
アレンジ	arrangement
補修	restoration/ maintenance/ repair
夜行	travelling by night
代案
下敷き	writing surface
官能	faculty of the senses
行き違い	crossing but not meeting
幕開け
校舎	school building/ schoolhouse
他方	on the other hand
地所
ナイトメア
特化	specialization
波長	wavelength
船外	outside of a 船 – boat (船)/ spaceship (宇宙船)/ etc.
孫権
案の定	expectedly/ as expected/ sure enough
一新	a renewal/ a change
生検	biopsy
製氷
表せ	to show/ to make apparent
立ち上がり	to stand up/ to get up
クロアチア	Croatia (a country on the Balkan Peninsula in Southeastern Europe)
シャンデリア	chandelier
地道	a straight path/ straight road
優良	good/ excellent/ fine
線引き	demarcation/ drawing a line in the sand
居酒屋	An izakaya: a Japanese bar or pub that serves alcoholic beverages…
刃向か
シンティア
見せ場	stand-out scene/ (by extension) stand-out thing or matter/ highlight
曲芸	acrobatics
対照	contrast/ comparison/ antithesis
誤算	miscalculation
仰向け	face up/ supine
道楽	libertinage/ debauchery
ミディアム
発泡	foaming
あたしら
公約	public promise
運び出せ	to carry outside
同化	assimilation
源泉	river source or spring source
不治	being incurable
アンプ	amp/ amplifier
公選	public/ popular/ or direct election/ election by popular vote
下級	inferiority/ lower class
アレッサ
あなたしか
企む	to plan/ to scheme/ to conspire
空域	airspace
因子	factor (mathematical or biological)
エドミュア
実務	practical business
惨状	cruel / pitiful state of affairs
下位	being at a lower position/ a lower location
勝ち取れ	to win/ to gain (victory)
大根	archaic form of 大根 (daikon)
奇人	an eccentric/ a strange or unusual person/ someone who is quite a…
気まま	alternative form of 気儘
ダンピア
小吉	a male given name
流体	a fluid (any state of matter which can flow)
電動	being powered by electricity/ being electric
里子	a female given name
民事	civil affairs or affair
応変	flexibility in one's response/ expediency
誤魔化せ
臨機
掛け金	premium/ installment
養成	training
富小路
小池	a surname
熱気	hot air
先延ば
規格	standard/ norm
同室	the same room
技量	ability/ competence
呼び鈴	bell
引継ぎ
持ち主だ
際立
下部	manservant/ servant
殺虫	insect killing
防ぎ	to defend against
常時	done always/ continuously/ constantly
気掛かり	concern/ worry/ anxiety
インソムニア	insomnia
京橋
インテリア	room decoration
騎乗	being on horseback
有人	manned/ crewed
新星	a nova
島田	clipping of 島田髷 (Shimada mage/ a traditional Japanese hairstyle)
法学	study of laws/ jurisprudence
果敢	resolute/ daring/ bold
アラナ
解凍	thawing
安堵	relief
西欧	Western world
木陰	the shade of a tree
旅費	travel expenses
小善
石器	stone implement/ stone artifact
悪評	bad review/ poor reputation
三浦	Miura (a city in Kanagawa Prefecture/ Japan)
強行	forcing its way
音速	the speed of sound
外生命
四国	Shikoku/ the fourth largest island of Japan.
物知り	broad knowledge
激戦	fierce battle
正念	the seventh part of the Noble Eightfold Path in Buddhism/ right…
ギルモア
愛で	to love
ソニアン
あしら
施行	execution/ carrying out
往来	traffic/ coming and going
家電	electrical home appliance/ electrical household appliance
他人事	someone else's concern or problem
単	single/ onefold
人ごみ	crowd of people
園内	within an 園 (en) – park (公園)/ zoo (動物園)/ kindergarten (幼稚園)/ etc.
アイヴァン
搾り取
錠前	padlock/ lock
人探し
レイアウト	layout
水深	water depth
カルフォルニア
未定	being pending/ to be determined/ undecided
這い上が
踏ん張れ	to plant one's feet firmly/ to stand firm
アラモ
近寄れ	to approach/ to come closer
味付け	adding flavor or seasoning
占有	total possession/ monopolization
統べ	to dominate/ to control/ to rule/ to govern/ to supervise
団員	member of a group
談話	discussion/ chat
言い回し	to express skillfully/ to express in a clever way
定か	sure/ definite
ヴィクトリア	Victoria (a state of Australia/ located in the southeastern part…
現せ
先駆	forerunner
引換
一挙	one effort/ a single stroke
半人
卍谷
壮観	being a magnificent sight
合わさ	synonym of 合わせる (awaseru)
水滴	drop of water
博愛	philanthropy/ fraternity
病弱	sickliness
素行
虚無	nothingness/ emptiness
鹿児島	Kagoshima (the capital city of Kagoshima Prefecture/ Japan)
失策	blunder/ slip/ error
職権	rights / authority granted by one's job
アリッサ
品位	dignity/ grace/ nobility
立ち向かえ	to oppose/ to face/ to stand up to (someone)
イタリアン	Italian
モリア
別室	separate room/ another room
専制	despotism/ autocracy (government by a singular authority)
ピュア	pure (of heart)
既存	already existing
校庭	schoolyard
裁定	judgement
通夜	vigil/ wake for the deceased
秀子	a female given name
あそ
存じ上げ	to know/ to think
殺菌	sterilization
リアリティ
狂言	a play/ a kabuki piece
無難	inoffensive/ safe/ free from trouble
振り向け	to look back/ behind oneself by turning one's head
青ざめ
沖合	offshore
着任	assume one's position
駆け付け	to come running/ to run in a great hurry
強襲	storm/ assault/ violent attack
ティアラ	tiara
引っこ抜
電解	electrolysis
体系	system
楽団	band/ orchestra (musical group)
座り込
呼び込
アンジェリーナ
前者	the former
積み	to pile up/ to heap up/ to stack up
実況	actual state/ actual conditions
消し	to extinguish/ quench/ put out
多発	many instances/ many cases/ spate/ rash
商会	a trading company
値引き	price reduction/ discount
国道	national highway/ national route
奮い立
張り合
カロアー
発送	dispatching/ shipping
事覚え
威光	power/ authority/ influence
体質	disposition of the body/ body type/ physique/ (medicine)…
選定	careful selection
戸締り	locking up/ securing doors and windows shut or closed
シュア
小指	a little finger or little toe
引き払
アクシーニヤ
観戦	spectating a sports event
白熱	white heat
受領	receipt/ acceptance
先立
アーサ
協同	cooperation/ collaboration
小野寺	a surname
暫定	temporariness/ interim/ provisionality
手はず	arrangement/ plan
降霊	calling the spirits of the dead
取り扱い	to handle/ to treat
白水	whitish water that has been used to wash rice
諮問	inquiry
アーヴィング
安田	a surname
ミアーズ
義	justice/ a situation which has a right and proper reason
条例	regulations/ rules/ laws/ acts/ ordinance
上れ
後れ	something later/ after/ or behind
ドアベル
グアテマラ	Guatemala (a country in northern Central America)
パラノイア	paranoia
全艦
適度	moderate/ modest / appropriate
金切り
正せ
独り身	single (not in a relationship)
浮かび上が
発煙	emitting smoke
小節	a small knot in wood/ lumber or timber with small knots
一揆	revolt/ uprising/ riot (often referring to a peasant uprising in…
交響	reverberation
ブライアント
女中	synonym of 下女 (gejo/ “maidservant”)
と殺
創始	genesis/ origination
仔馬	A baby horse/ a foal
無神
突き当たり	run into
開演	start of a performance
高ぶ
教え込
向こうが
あらかじめ
移入	importation or immigration
丼	a simple large bowl for serving food
奉行	magistrate in feudal Japan
錬金
開口	an opening such as an open window
アデレード	Adelaide (the state capital of South Australia)
芸名	stage name
助産	midwifery/ birth assistance
ディアン
否決	decline/ refusal (by decision-making entities such as a court or…
人妻	a married woman
認否
起こし	to wake (someone)/ to get (someone) up
アンドレフ
報知	information/ news/ intelligence
美学	aesthetics (the study of art or beauty)
アイダ
完売	completely sold-out
アイシャ
向き合え	to face each other
経典	sutra
享受	reception/ being given
大まか	general/ broad/ rough
神霊	gods/ deities/ divinities.
交易	trade/ transaction
松本	Matsumoto (a city in Nagano Prefecture/ Japan)
アレハンドロ
刈り取
延命	life extension
フェアモント
前触れ	harbinger/ messenger/ herald/ sign of things to come
入試	entrance exam
のけ者	pariah/ outcast (person excluded from a group)
先行き	the first/ the vanguard/ the state of going out in front
定年	age of mandatory retirement
投げかけ
無様	unsightly
秋葉	a placename/ especially
戦傷
流れ込
競い合
溶岩	lava (melted rock)
突き放
示談	settlement out of court/ private settlement
取り舵
臨界	criticality/ the critical (state/ point/ pressure/ etc.)
医院	clinic/ doctor's office
あう	会う: to meet
不振	dull/ slow/ stagnant/ depressed
続報	news that follows another/ a follow-up/ latest news/ update
放蕩	doing as one wants without restraint/ often with regard to alcohol…
手玉
風習	custom (ordinary behaviour)
粘り強
履行	execution/ fulfillment/ implementation
手こず
着ろ	to put on/ to wear (clothing)
昭和	the Shōwa era/ 1926–1989
あたりまえ
植えつけ
水漏れ
あーん
欲張り	to be intensely greedy/ avaricious/ covetous
東欧	Eastern Europe (a socio-political geographical area of eastern…
我在
思念	a thought/ reminiscence
アドリブ	ad-lib
信任	trust/ confidence/ credence
路肩	shoulder of a road (part of a road where drivers may stop in an…
偶発	accidental occurrence
債務	debt
野良犬	stray dog/ free-ranging dog
付随	accompaniment/ concomitant
松吉	a male given name
アドリアナ
年寄	an elderly person
護れ
増員	acquiring of new employees or members/ new blood
購読	subscription
野朗め
勅使
垣間見	catch a glimpse of
度重な
高名	famous/ renowned
体面	honor/ reputation/ public image/ face
アイゼンガルド
何れ	indeterminate demonstrative pronoun:
化膿	suppuration
平林	a surname
三恵
届け物	something to be delivered
悩み事
成り下が
強食
休ま
毎秒	per second
防水	waterproofing
凝視	stare
堪能	satisfaction/ satiety
突き付け	to thrust (something/ e.g. a weapon) before/ at (someone)
日経
贋作	counterfeit/ fake
砂利	gravel
引っかき傷
貴子	a female given name
近づき
現存	existence
都護
ああああ
暴風雨	rainstorm
年中	the period of a year
張れ	to spread/ to fill
的中	to hit (a target) (of a projectile/ e.g. bullet)
農薬	pesticide
性急	brash/ impatient
立法	legislation
工程	work process
内向
ガイア	Gaia/Gaea/ the Greek goddess of the earth.
栄子	a female given name
あからさま	open/ candid
成熟	maturity
金利	interest rate
聴力	hearing ability/ strength of one's sense of hearing
高橋	a surname: the 3rd most common surname in Japan.
当該	the applicable/ relevant/ concerned (rules/ authorities/ etc.)
踊り子	dancer
わが家
改変	alteration/ a change
何語
所見	observation/ findings
使徒	apostle
言論	speech (as in freedom of speech)
社名	name of a company
アイヴァー
振り子	a pendulum
矢野	Yano (neighborhoods in Japan):
蓮美
大食い	eating a large amount of food
ティアー
導け	to guide/ to conduct
読み物	reading material
アスファルト	asphalt
軍部	the military as a whole
近年	recent years
提言	motion/ formal proposal/ recommendation
動議	motion/ move (a parliamentary action)
重宝	priceless treasure
喜劇	comedy/ farce
二の舞	the same mistake/ the same (bad) destiny
提起	to raise/ to institute
直観	intuition/ instinct/ insight/ hunch
自給	self-sustenance
縁石	synonym of 縁石 (fuchiishi/ “curb”)
有料	charging fees/ not free
成りすま
主犯	prime culprit/ principal criminal or offender
分け与え	to distribute/ to hand out
和ら	something fragile/ soft/ or supple
引き立て	favor/ show advantage to
あがめ	to exalt/ to revere/ to venerate/ to honor
締結	binding tightly/ constricting
供与	provision/ furnishing (act of providing)
居続け
無音	silent/ soundless
大罪	grave sin/ deadly sin/ great sin
書籍	book
声かけ	calling out to someone
大英
山賊	bandit/ a robber with a base in the mountains
市外	outside of a city
小売	retail
上限	upper limit
非行	misconduct
廃品	waste/ garbage
ソリア
取ら
原油	crude oil
決別	bidding farewell/ parting (usually with the implication that there…
散乱	dispersion/ diffusion
身ごも
本道
ヶ月経
上乗せ	a fee/ premium/ extra cost
尊大	haughty/ arrogant
前戯	foreplay
慈愛	affection/ frequently the love of a parent for a child
見せ付け
特質	characteristic/ feature/ special quality
入所	entrance/ admission
部分か
小枝	twig/ spray
搬入	The action of carrying in a building.
波紋	ripple (moving disturbance or undulation in the surface of a liquid)
不純	adulterated/ impure
母星
各位	ladies and gentlemen/ all/ everyone
日用
葉書	postcard
地主	landowner
幅広
安住	living in peace
肌馬
媒体	medium (the material or empty space through which signals/ waves…
送りだ
マラリア	malaria
グリアー
小道	path/ lane/ footpath
手応え	the way something feels being done using one's hand
コンティニュア
売渡
手抜き	not adhering to procedure/ skipping steps/ cutting corners
海面	sea level/ sea surface
神社	a shrine/ especially a Shinto shrine
平衡	balance/ equilibrium
鉄板	iron plate/ hotplate/ sheet iron
加圧
目分
内陸	inland area
車中	inside of a car/ train/ or other vehicle
掛け合
夜分	nighttime
文法	grammar
音符	musical note
アリウス
特命	mission
口数	talkativeness
都能
立件
リアクション	reaction (action in response to an event)
奇術	stage magic/ conjuring/ sleight of hand
両端	both ends
密着	close contact
旗本	retainer of a shogun
角田	a surname
絶命	to die
並行	going side by side
変数	variable
知子	a female given name
内地	inland area/ mainland
霊界	world of the spirits
フォアマン
負い目
反旗	banner of revolt/ flag of rebellion
触手	tentacle (elongated/ boneless/ flexible appendage)
早口	talking in a fast way
当方	we/ us/ our part
褐色	the color brown
勃発	outbreak (of war etc.)
相関	correlation
ボルティモア
米兵
賛美	praise/ extolment
二股	bifurcation (splitting from one into two)
インドネシア	Indonesia (a country and archipelago in maritime Southeast Asia)
月日	the moon and sun
学士	a bachelor (person who has achieved bachelor's degree)
送り迎え	picking up and sending off
補正	supplement and correction/ compensation
物好き	having abnormal hobbies
転がり込
学業	school studies/ schoolwork
治世	peaceful times
紀	narrative/ account
やりあ
移れ	to move (as moving one's place of residence)/ to migrate
実権	real power/ real authority
谷子
前言	previous remarks/ last statement/ earlier words
アウグスト
退位	abdication (the act of abdicating/ the renunciation of a high…
外套	overcoat/ greatcoat
材木	material wood/ (UK) timber/ (US) lumber – wood that has been…
律	a law/ code
大っ嫌い	hateful/ strongly disliked
ズアー
差し引
あさり	stem or continuative form of あさる (asaru)
ありす
自社	one's own company
心地よ
鍋島	a surname
共め
院内	the inside of building (and/or system) which is suffixed 院(いん) (in).
遺志	will of the deceased/ one's intent after death
告解	confession
還元	reduction
裁縫	needlework/ sewing
暴言	insensitive and/or irresponsible comments
農作	agriculture
打合せ	meeting/ talks/ arrangements
文無し	pennilessness
手付	carriage of the hand
不可思議	mysterious/ inscrutable
主流	the main current of a river etc.
摘発	exposing/ unmasking
名士	celebrity/ noble/ famous contributor
あープ
小額	small denomination/ small sum (of money)
町外れ	outskirts
前途	future/ prospects/ outlook
アニャ
刺客	synonym of 暗殺者 (ansatsusha/ “assassin”)
アルティ
金太郎
終着	reaching the end of the line
メイア
発酵	fermentation
申し入れ	offer/ propose
半券	ticket stub
顕著	remarkable/ prominent/ conspicuous/ striking
置換	substitution
ジャイアンツ
くそ野朗
下垂	drooping/ dangling/ hanging down/ sagging
江南	a city in Aichi Prefecture/ Japan
むしり取
稼業	profession
アズラ
釣り合い	to balance/ to be in harmony
改竄	alteration (of a document)/ falsification (of records)
逆上	frenzy/ distraction
人类
開園	opening of an 園 (en) – park (公園)/ zoo (動物園)/ kindergarten (幼稚園)/ etc.
敵地	enemy or rival territory
乗り込め	to get in (a vehicle)/ to get on (a train/ bus/ ship/ plane/ etc.)
鳥類	birds/ bird
ヵ所
令嬢	daughter
方形	rectangle
高瀬	a surname
流用	diversion
日差し	sunshine
ざまあ
言っ
内原
旅だ
震え上が
徳子
母方	one who is maternally related/ on one's mother's side
八戒	The eight precepts of Buddhism.
野口	a surname
建国	establishment of a nation
編み	knit
合戦	battle/ engagement
改宗	religious conversion
圏内	within an area/ within a range
牧野	livestock farm/ ranch
昔話	folklore/ legend/ old tale/ fairy tale/ folktale
過信	overconfidence or overestimation of one's own abilities
勝元
支払え	pay (money)
試行	trial run
乗り上げ	run aground
喚問	summons
アロ
あぁー
天上	the distant sky/ the heavens
建前	official policy or position/ the official story/ a pretext/
北星
圭三
京都	a placename/ especially:
浪人	a masterless samurai
かき乱
アルキデス
真昼間	high noon
ディアボーン
直帰	returning directly home
マンティコア	a manticore
小男
検疫	quarantine
挙式	holding a ceremony (especially a wedding ceremony)
積め	to pile up/ to heap up/ to stack up
激化	intensification/ aggravation
アーカンソー	Arkansas (a state of the United States)
ぶっ放
オアシス	an oasis (well surrounded by fertile region)
アイダホ	Idaho (a state of the United States)
転売	a resale of something previously purchased
かがり火
上質	of fine quality/ high quality
死期
聖典	religious text
高潮	climax
末路	end of the road
ボア	boa (snake)
報せ	notice/ notification/ news
初頭	beginning of an age or a period/ such as a century
丿ヾ力
強豪	veteran/ powerful player
創り	alternative form of 作る
制覇	the act of defeating in a combat
弁論	discussion/ debate/ argument
典子	a female given name
天性	personality/ character/ person
送り込め	to send in (to make someone go somewhere to do something)
食らわ	to gobble/ to eat
全室
縫い合わせ
義手	artificial arm
ヤア
できあが
母乳	breast milk/ mother's milk
作り手	maker/ creator
中性	neuter gender
神戸	Kobe (the capital city of Hyōgo Prefecture/ Japan)
アントニー
張り切
大柄	large/ big-boned
水夫	a sailor/ a seaman.
博美	a unisex given name
心情	one's heart/ one's feelings
生まれ変わり	to be born again/ to be reborn/ to be reincarnated
会得	understanding/ comprehension
アーチスト	alternative form of アーティスト (ātisuto/ “artist”)
良江
シーア	Shi'a
大盛り	large portion
基幹	nucleus/ backbone/ basic/ key
主席	president (of a socialist state)
所業	deed/ act (often undesirable)
プレミア	premiere
持ち逃げ
親方	boss/ master/ foreman
半殺し	nearly killing/ injuring so severely as almost to kill
稟議
唱歌	singing/ songs
エンジニアリング	engineering/ the application of science to the needs of humanity
火遊び	playing with fire
台北	Taipei (the capital city of Taiwan)
相乗り	riding together/ sharing a vehicle not owned by all riders
オーレーリア
調印	signing
大公	a grand duke
只要
常套	conventionality/ triteness
於け
バイアグラ
号外	extra (extra edition of a newspaper)
堀田	a surname
催促	demand/ urging
消え失せ	to vanish/ disappear
ルシア
呼び止め	to call somebody to stop
筋金
上階	upstairs/ specifically/ the floor above
本職
前置き	preface/ introduction
真後ろ	right behind
根回し	digging around a tree before transplanting it
先例	precedent
敵視	regarding with hostility/ being hostile towards/ viewing as an enemy
脇線
五千	five thousand
小心
石板	slate/ a sheet of slate used for writing
あたい	first-person pronoun: I/ me
再編成	reorganization
不敵	daring/ fearless/ intrepid/ bold/ tough
風向き	direction the wind is blowing in
人出	crowd/ turnout
後ろ盾	shield worn across one's back
皆殺
戸締まり	locking up/ securing doors and windows shut or closed
寝取
出鱈目	nonsensical
モリアーティー
スピアーズ
新手	beginner/ novice/ newcomer/ a greenhorn
ギリアム
大鹿	a large deer
奮起	rousing
繰り広げ	unfold/ open
性悪女
アイゼンハワー
検体
気球	balloon (inflatable object to transport people or objects through…
物忘れ	forgetfulness
ハワイアン
工面	contriving/ managing (to do something)
断然	firm/ definite
結界	restricted access:
二百	two hundred
各種	all kinds of/ every kind/ a full range
達し	to reach/ get up to
取り立て	collection of owed money
アルカリ	alkali (class of caustic bases)
シンクレア
急変	to change suddenly
塚本	a surname
宛先	destination of a piece of mail/ name and address on a letter etc.
りゃあ	alternative form of りゃ (rya)/ contraction of れば (-reba)
ヒアリング	hearing/ ability to hear
新設	being newly organized or established
術師
オリアンダー
しあわせ
戦火	fire of war/ flames of war
見開
風貌	appearance
あたえ	to give something/ to bestow/ to grant/ to impart
金物
合点	consent/ agreement
見付かっ
吹き消
抑止	deterrence/ discouragement/ restraint
館長	chief of a 館 (kan) – director/ curator (of a museum 美術館)/ head…
特攻	suicide attack
注視	watching attentively
矢代	a surname
衣料	clothing
草地	grassland/ lawn/ meadow
不可避	inevitable/ unavoidable
会費	membership fee/ dues
際限	limits
構う	to care about/ to mind
指し	to point (at/ to)
剣術	swordsmanship
焼け死
生気	energy/ liveliness/ enthusiasm
たあ
発祥	origin
言い当て
荷車	cart
背面	back (of something)/ reverse (side)
チェア
可視	visibility
食後	after eating
一人ひとり	each person
敬語	respectful or honorific language
名高
接地	landing an airplane etc.
聞き逃
アプリケーション	an application
運勢	luck
手懐け
一役
芸者	a geisha
言い草
ワイア
口添え
年鑑	almanac/ yearbook
二の次	second in priority
空砲	blank/ blank ammunition
根元	root/ cause/ source/ origin
マルコア
決算	settlement of accounts
西経	west longitude
便座	toilet seat
乗艦
黙認	tolerance
定着	settlement/ radication
暗視	night vision
感じ取れ	to perceive/ to sense
異種	being of different types
解せ	to submit (a report)
小汚
金沢	Kanazawa (the capital city of Ishikawa Prefecture/ Japan)
言い直
糞女
死守	defending to the death
達二人
触れ合
幸せ者
来週末
野暮	rustic/ boorish
愚者	a fool/ an idiot
子持ち
軽量	lightweight
積み込め	load
平日	a weekday/ an ordinary day
戒律	religious discipline/ religious precept/ commandment
手綱	reins
有り難
先陣	vanguard
比例	proportion/ ratio
不向き	inept/ unfit/ unsuited
アッティラ
防音	being soundproof
アビィ
適所	suitable place/ suitable section/ suitable post
名作	masterpiece
物静か	quiet
改名	change of name
マーゴットアル
能否
俗物	cheap thing/ cheap person
話かけ
小沼	a surname
家宝	heirloom
数珠	prayer beads
水筒	water bottle
アダル
金槌	a hammer with at least a metal head/ or possibly made entirely of…
行く末
木こり	lumberjack
故人	a deceased person
気密	airtight
自責	self-reproach
通帳	bankbook/ passbook
決裂	rupture (e.g. of friendly relations)
信義	faith
油井	oil well
アイバン
最古	the oldest
焼死	burning to death
アトラクション	attraction
後期	the late period
戸口	door/ doorway
単身	being alone
アブラハム	Abraham (prophet in the Hebrew Bible)
自叙
クリアランス
通風	ventilation
入港	entry into port
ヤル気
大暴れ
入植	settlement
離せよ
吟味	thoroughly reviewing
老女	old woman
あたかも	just like
殴り合
敵艦	enemy warship
欠場	failure to appear/ not being present
行き来	coming and going
将官	a general officer
受容	reception/ acceptance
有給	paid work/ something done for wages
定数	constant
独善	self-righteousness/ self-justified/ self-complacent
婚前	before marriage/ (attributively) premarital/ prenuptial
京子	a female given name
湘南	Shōnan/ a region along the coast of Sagami Bay
語れ	to talk about/ to tell/ to narrate
症例	case (of an illness)
投げ飛ば
存命	being alive
問いただ
変電
あえぎ声	moaning
極楽	short for 極楽浄土 (Gokuraku Jōdo): pure land (western paradise of…
血族	blood relation/ blood relative
アンコール	encore! (please perform again)
心身	mind and body/ psychosomatic.
結び目	knot
考え事	thinking
同時刻
卒論	clipping of 卒業論文 (sotsugyō ronbun/ “graduation thesis”)
検閲	censorship
決壊	collapse
ただ中
右目	right eye
向こう岸
主砲	main battery or largest guns
フォアグラ	foie gras
完結	conclusion
リヴァイアサン	leviathan
買物	shopping/ buying
大司教	archbishop
由紀子	a female given name
寛解	remission (abatement or lessening of the manifestations of a disease)
書置き
同社	the same firm or the previously mentioned firm or company
アタ
州法
聞き取り	listening comprehension
忍野
模造	imitation
杉原	a surname
持論	one's longstanding opinion
特効
他殺	homicide/ murder or manslaughter
働き者	hard worker/ busy bee
士事
全校	whole school
白鯨
失速	stall (loss of lift due to an airfoil's critical angle of attack…
鍛治	forging/ smithing
開設	establishment/ inauguration
年数	the number of years
前座	opening to a performance/ opening act
果樹	fruit tree
一人娘
引っ越せ
登記	registration
内耳	inner ear
レアック
投函	posting a letter
実例	example/ illustration
義眼	artificial eye
古来	from ancient times/ since old times
アティカス
アクシデント	accident
条理	logic/ reasoning
アーニャ
受けと
積み荷	a load/ freight/ goods/ a cargo/ loading
文河
有刺
行き場	place to go
方止め
多重	multiple
対向	facing/ being opposite
臣民	a subject (citizen in a monarchy or empire)
アンクル
要说
進撃	an advance/ charge on an enemy
裏表	back and front/ both sides
海馬	synonym of 竜の落とし子 (tatsu no otoshigo/ “sea horse”) (fish)
静観
東方	east/ east area
進み出	to step forward
件数	number of cases/ events/ messages/ etc.
棄権	giving up of one's rights/ (especially) abstention (in voting)
心電
黒曜
不作法	ill-mannered/ rude
詐称	misrepresentation/ false statement regarding one's name/ address/…
海運	maritime transportation
補欠	filling a vacancy/ substitution
伝送	transmission/ delivery
熟女	a mature woman
前歯	front teeth/ front tooth
号泣	wailing/ lamentation/ crying
チェコスロバキア	Czechoslovakia (a former country in Central Europe/ now the Czech…
落とし前	settlement/ resolution (as of a dispute)
解錠	undoing a lock/ unlocking
内情	internal conditions/ inside affairs/ inside story/ inner workings
一人息子
逐一	one by one
金輪際	by no means/ on no account
牧子	a female given name
あば
福	good fortune/ good luck
アバロン
拾い上げ	to pick up
アディレス
配れ	to distribute/ to hand out
法外	exorbitant/ outrageous/ absurd/ ridiculous
外泊	staying over/ sleeping over (spending the night somewhere other…
流れ着
作ら	to make/ to create
廃人	cripple/ disabled person
平らげ	to consume completely/ to eat up/ to finish off
無心	being something that has no heart/ as a plant or rock
先走
アムール
新間
ニュニアス
