de	of (expresses belonging)
hôtels	mansion/ town house/ hotel (sense 1)
éditeur	editor/ publisher
voeu	nonstandard spelling of vœu
prévenue	prejudiced (that has favorable or unfavorable feelings beforehand)
pleines	full/ full up
bla
profs	teacher/ professor
sacrifié	to sacrifice (all meanings)
noyé	to drown/ to drown oneself
dessiné	to draw/ to sketch
réacteur	reactor (a device which uses atomic energy to produce heat)
apparition	appearance
devenait	to become
mére
assemblée	assembly
rangs	row or line of things placed side-by-side
luis	inflection of luire:
connecté	to connect
pedro
débris	debris
chang
summer
hyper	very/ a lot
gratuite	free of charge
kane
hangar	shed/ barn/ warehouse
rendrait	to give back
régiment	regiment (army unit)
buzz	buzz (excitement)
entrainement	training
flux	flow
noces	wedding
bloquer	to block (physically)/ to barricade/ to obstruct
je-je
arrogant	arrogant
brûlée	feminine singular of brûlé
mériter	to deserve/ merit
repasser	to iron (to pass an iron over clothing)
racines	root (of a plant)
sûreté	safety
averti	past participle of avertir
naze	worthless/ useless/ lame
june
bœuf	ox
plaise	to please/ to appeal to (usually translated into English as like…
composé	to compose
font-ils
nadia	a female given name from Russian На́дя (Nádja)
stevie
kara
appartements	apartment/ flat
sonde	probe/ sound
noel
mimi	cute
pdg	CEO (US/ Canada) (chief executive officier) or MD (UK) (managing…
burns
bouts	end/ extremity/ tip (of a physical object)
plombs	lead (metal)
défauts	shortcoming
saucisses	sausage (hot dog style)
interdite	forbidden/ prohibited/ off-limits
convention	convention/ agreement
condamnation	sentencing
couvertures	blanket
célèbres	famous
saints	a male saint/ masculine of sainte
testé	to test
soulager	to relieve/ soothe
hétéro	straight (heterosexual)
impatiente	impatient
célibataires	single (without a life partner)
embauché	to hire/ to employ
regardez-vous
mere
distrait	absent-minded
refais	to redo/ to do over/ to do again/ to repeat
déconnes	to pull out/ "decunt" (remove one's penis from a vagina)
déchirer	to tear/ to rip up
bush
vase	silt/ mud
torche	torch (stick with flame at one end)
appelez-vous	to call (out)
fuit	to escape
mouillée	wet/ moist (covered with liquid)
largué	past participle of larguer
supplémentaire	extra
conduisait	to drive (a vehicle)
poules	hen (female chicken)
coins	wedge/ cornerpiece
superbes	superb/ excellent/ impressive
roulant	to roll
qualifié	to qualify (of a sports team/ etc.) (to compete successfully in…
mécanique	mechanical (of or pertaining to a machine)
outil	tool (something designed to aid in a task)
accompagné	to accompany/ to escort
reins	kidney
pantalons	trousers (UK)/ pants (US)
bouleversée	past participle of bouleverser
tuerais	to kill
vivian
théories	theory
lemon
semblé	to seem/ to resemble/ to look like
donnés	affordable/ cheap
coupure	the act or result of cutting/ a cut
dog
goûts	taste/ flavour
craqué	to split/ to break
accouchement	delivery (act of giving birth)
contenir	to contain
trip
hourra	hurrah
ouragan	hurricane
liée	past participle of lier
spike
mou	soft/ pliable/ flabby/ mushy/ squishy
pic	woodpecker
haleine	breath
allongé	to lay down
matchs	match/ game
espionner	to spy (to act as a spy)
catégorie	category
abigail
arrivées	arrival
dodo	sleep/ kip
kay
barreaux	metal bar (of a jail cell/ cage etc.)
poses	to stop carrying/ to put down (something or somebody)
ruban	band/ stripe
bâtiments	building/ edifice
buffet	sideboard/ dresser (a piece of furniture)
gavin
romain	of the city of Rome/ Roman
embuscade	ambuscade/ ambush
mo	MB (megabyte)
musiciens	musician
garantir	to guarantee (to assure that something will get done right)
três
dégagé	to free (someone or something)
kang
rudy
bougie	candle
valentin	a male given name from Latin/ equivalent to English Valentine
soutiens	to support
débarrassé	to clear (a table/ a desk etc.)
magiques	magic/ magical
grise	grey / gray
felix
entendus	past participle of entendre
déprimé	to depress/ to deject
masques	mask (a cover/ or partial cover/ for the face/ used for disguise…
vaccin	vaccine (substance that stimulates production of antibodies)
drôlement	funnily
terrorisme	terrorism
particules	particle
migraine	migraine
ressemblez	to resemble (to share similar qualities with)
val	valley/ vale
coude	elbow
siens	his (that which belongs to him)/ her (that which belongs to her)
impliqués	past participle of impliquer
sauvez	to save/ rescue/ to protect
sur-le-champ	on the spot/ immediately/ right away
faisons-le
vilaine	villain
abandonnez	to give up
franck	a male given name/ equivalent to English Frank
artifice	artifice/ trick/ ploy
définition	definition
rico
domestiques	domestic
sherlock
isolement	isolation (detachment/ exclusion)
espionne	spy (person who secretly watches)
liv
dynamite	inflection of dynamiter:
dj	DJ/ disc jockey
reprises	time/ instance
étouffe	to smother/ to choke
allemande	German (related to or originating from Germany)
reprocher	to blame somebody for something (place blame upon)
boeuf	ox
country	country music
pizzas	pizza (Italian dish)
idéale	ideal
pardonnez	to pardon/ forgive
durera	third-person singular future of durer
sylvia	a female given name
pâtes	plural of pâte
aspirine	an aspirin (analgesic drug)
accidentellement	accidentally (unexpectedly/ unintentionally)
recommande	to recommend/ to endorse
soigne	inflection of soigner:
nourrit	to feed (provide with nourishment)/ nourish
chargement	Action of loading (up) (vehicle/ animal etc.)
emballe	to pack up/ to wrap up/ to parcel
était-elle
sanctuaire	shrine (a place that is holy)
revenait	third-person singular imperfect indicative of revenir
merveilles	plural of merveille
conspiration	conspiracy (act of working in secret to obtain some goal)
économiser	to economise (to conserve money)
raccompagner	to walk back/ to take back/ to drive back (to escort someone back…
convenu	past participle of convenir
richesse	wealth
égard	consideration
chassé	a chassé
aident	to help/ to aid
bilan	balance sheet
adieux	farewell
sortiras	to exit/ go out/ come out
architecte	architect (a designer of buildings)
regardez-le
trahis	to betray
honteux	ashamed (feeling shame)
mater	to checkmate
price
patrons	a boss/ employer/
femelle	female (of a species)
dante
mini	small/ tiny
démolir	to demolish
sportif	athletic/ enjoying and frequently participating in sports/ sporty
dizaines	a set of ten
sexuellement	sexually
suivait	to follow (literal sense)
pope	an Orthodox priest.
fouet	whip (tool)
introduit	to introduce
artère	artery (“blood vessel”)
constitution	constitution (formal or informal system of primary principles and…
gold
accélère	to accelerate
réglo
apocalypse	apocalypse (disaster)
juive	Jewish (following the religion of Judaism)
mercedes	Mercedes (car manufactured by Mercedes-Benz)
chapelle	chapel
jan	Each of the two tables in trictrac
versé	to pour
provient	to originate (from)
arrêtons	to stop/ to come to a standstill/ to halt/ to stop from moving
merlin	splitting maul: an axe with a long handle/ the blade of which is…
obtenez	to get/ to obtain
boulots	work
arbitre	mediator/ arbitrator
lécher	to lick
séparé	to separate
ciné	cinema/ movie theater
affecté	to feign/ affect (an emotion/ etc.)
cacahuètes	peanut/ goober
hésitez	to hesitate
exemplaire	copy/ facsimile
relâche	to release
programmes	a program (set of structured activities)
certitude	certitude
bec	beak/ bill (of a bird)
crevettes	shrimp
jin
perdues	past participle of perdre
poursuites	pursuit/ chase
hamburger	hamburger
herbes	grass (the plant)
transmis	to transmit
apprennent	to learn
décor	decor/ decoration
parano	paranoid
maternelle	maternal
gai	cheerful/ merry
négociations	negotiation
antidote	antidote
cachait	to hide
revoit	to see again
clarke
noter	to note
cracher	to spit
horizon	horizon
emplois	job
mouchoir	handkerchief
bernie
agressif	aggressive
modifier	to change/ modify
denver
prenez-le
stacy
grandeur	size
judith	Judith/ the Book of Judith
détestait	to hate/ to detest (to thoroughly dislike)
parvenir	to reach
leon
nerf	nerve
q	The seventeenth letter of the French alphabet/ written in the…
accoucher	to go into labour
data	to date/ to add a date onto something
mètre	metre/meter
éclat	brilliance/ shine/ lustre
hugh
falaise	cliff (steep rock face)
affreuse	frightful/ causing fear
logement	housing/ dwelling
adresser	to direct
croiser	to cross/ to put in the shape of a cross
entrées	entry/ act of entering
laurel
explications	explanation
comprendrais	to understand/ comprehend
ivy
cerveaux	brain (organ of thought)
torturé	to torture (to intentionally inflict severe pain on someone/…
doris
bridget
nicholas
retrait	retreat
back	to back (something) up/ to move (something) back/ to move…
cassettes	treasure box
épuisée	exhausted
ruines	ruin/ wreck
cv	initialism of curriculum vitæ
chi
clou	nail (metal pin)
détesté	to hate/ to detest (to thoroughly dislike)
violeur	rapist
brutal	brutal
illusions	illusion
remplaçant	to replace
tremble	aspen
existé	to exist
nomme	to nominate
dansé	to dance
privés	private
initiative	initiative
argument	argument
scully
croise	to cross/ to put in the shape of a cross
sirop	syrup
cicatrices	scar
end
sublime	sublime/ extraordinary
résiste	to resist
renonce	to resign/ to quit
économique	economy/ economic
conséquent	Acting or operating in a consistent or logical manner/ coherent
repart	to leave again/ to go back
rochers	rock (mass of projecting rock)
ruelle	lane/laneway/ alley/alleyway
prions	prion
parade	inflection of parader:
nain	dwarf
ballons	to dance
élevés	high/ aloft/ perched
marijuana	marijuana/ cannabis
evelyn
largement	mainly/ mostly
manquez	to lack/ to be lacking in
rampe	to crawl/ worm (along)/ to creep
bienvenus	welcome
retrouverai	to find (again)/ to rediscover
inquiets	worried
patte	paw (of animal)
nommée	past participle of nommer
écarter	to separate/ move apart
accélérer	to accelerate
tunnels	tunnel
sachent	to know (something)
nuque	nape/ back of the neck
doubler	to double/ duplicate
diplômé	having a diploma or a degree
récent	recent
gala	third-person singular past historic of galer
here
aidés	past participle of aider
jefferson
quotidien	daily/ everyday/ quotidian/ commonplace/ mundane
préfèrerais	to prefer
aérien	air/ aerial
fortement	strongly/ powerfully
nouilles	noodle (string or strip of pasta)
gravement	seriously/ badly
trad
lancez	to throw
hypocrite	hypocritical
glacée	icy/ frozen
enterrée	past participle of enterrer
devrions-nous
rassemblement	gathering/ assembly
valet	a male attendant of a knight or a lord
paysage	countryside
mexico	Mexico City (the capital city of Mexico)
savions	to know (something)
reprenez	to take back/ recover/ regain
cruz
réels	real (true/ factual/ not fictional)
goûte	to taste/ to try (to sample something orally)
gâchette	latch
exercices	exercise/ performance
cure	care/ concern
gémissements	moan/ groan
lucky
ramassé	to pick up/ to collect/ gather
répétez	to repeat
fosse	pit (hole in the ground)
décédée	past participle of décéder
reviendras	to come back/ to return
lin	linen
rancune	resentment/ grudge/ rancour
disparaissent	to disappear
quittée	past participle of quitter
sang-froid	sang-froid/ calmness/ calm
écoutais	to listen
dance	dance music
autographe	autograph
dépense	to spend (money)
hurle	to shout/ to yell
paisible	peaceful
apollo
dexter
phillip
supplier	to implore/ to beseech/ to beg
milo	a male given name
donnez-nous
cuisinier	cook/ chef (someone who cooks)
ramènes	to take back/ bring back/ restore
weekend	post-1990 spelling of week-end
attrapez-le
représentation	representation
wall
séduisant	to seduce
renseignement	piece of information
gouttes	drop/ droplet
haïr	to hate
oubliais	to forget
coloc	clipping of colocataire (“roomie/ housemate/ roommate”)
marchez	to walk
banlieue	suburb
évader	to escape (from a building/ situation etc.)
corriger	to correct
regards	look/ glance
cuillère	spoon
souffler	to blow
éclaté	to burst/ to break/ to shatter
beurk	yuck!
nombres	number
carlton
imposteur	impostor/ fake
sofia	Sofia (the capital city of Bulgaria)
insigne	remarkable/ distinguished
commencement	beginning/ start
visiteur	visitor
caserne	barracks
callie
lynn
reportage	reportage
effraie	to frighten/ to scare/ to affray
délicieuse	delicious
cartons	cardboard
petite-fille	granddaughter (daughter of one's child)
marianne	a female given name/ a combination of Marie and Anne
abrutis	whose physical or mental capacities have been impaired by…
obéis	to obey (+ à a person)
sophia
discrètement	discreetly/ discretely
sympas	nice/ likeable
province	province
aidez-nous
mythe	myth (story)
envoies	to send
légale	statutory: having to do with an act of parliament
puisqu
ward
laissez-les
uniformes	uniform (unvarying)
sonnette	bell (for example/ on a bicycle)/ handbell
enfoncer	to push in/ to press in/ to drive in
muet	dumb (unable to talk)
erik
intéressait	to interest/ to make interested
camping	camping
posséder	to own/ to possess
simone	a female given name/ masculine equivalent Simon
américaines	of or pertaining to America/ American
yacht	yacht
prophète	prophet (one who speaks by divine inspiration)
observé	to observe/ watch
contexte	context
obligation	obligation
encaisser	to collect/ to cash
perspective	perspective
optimiste	optimist
moon
mate	feminine singular of mat
tomates	tomato (plant)
cogner	to whack/ to bash/ to thump (hit hard)
cynthia	Cynthia
entendait	to hear
sadie
milan	Milan (a city and comune/ the capital of the Metropolitan City of…
consiste	inflection of consister:
convoi	convoy
pelouse	lawn
flûte	flute (woodwind instrument consisting of a tube with a row of…
nicolas	a male given name from Latin [in turn from Ancient Greek]/…
reviendrais	to come back/ to return
gardait	to keep/ to retain/ to store/ to save
dentaire	dental
modifié	to change/ modify
tequila	tequila (beverage)
liées	past participle of lier
épouvantable	atrocious/ awful/ appalling
dragons	a dragon/ creature or person
confie	to confide
devons-nous	must/ to have to/ should (as a requirement)
willy
téléphoniques	telephone
contenter	to content/ to satisfy
rassemble	to assemble
tracasse	to bother/ to annoy/ to worry
mourrez	to die/ to be dying
pourrir	to rot/ decompose/ putrefy/ crumble
combattant	to fight/ to combat (against)
fiction	fiction
attendiez	to wait for/ to await
jedi	Jedi
spirituel	spiritual
organisme	organism
lizzie
indienne	Indian (resident or native of India)
mouton	sheep (animal)
supplié	to implore/ to beseech/ to beg
suzanne	a female given name/ equivalent to English Susan
plaisanter	to joke (make a joke)
prés	meadow
sente	to smell (to have a certain odor)
percy
excès	excess
idole	idol (graven image or representation of anything that is revered/…
high
emménagé	to move in (to a new home)
orphelinat	orphanage
perturbé	past participle of perturber
pois	pea
voudront	to want/ wish/ desire
compagnies	company
infecté	past participle of infecter
partiez	to share/ to share out/ to divide
mettrais	to put/ to place
susie
croissance	growth
relâché	to release
évanoui	past participle of évanouir
quelquefois	sometimes
doyen	dean
pearl
échoue	to fail/ fall through/ miscarry
slip	briefs (men's underpants)
expliquerait	to explain
laisse-les
griffes	claw
mesurer	to measure
pâques	Easter
contacte	inflection of contacter:
gestes	gesture
servez-vous	to serve (to help in a shop/ to bring a meal to someone)
laid	physically ugly
paies	to pay (for)
avancée	advanced (well developed)
continent	continent
nucléaires	nuclear
amuses	to amuse/ to entertain
mènera	to lead/ to take
hait	to hate
amateurs	lover of something
pâte	paste (a soft moist mixture)
horaires	schedule
énigme	enigma/ puzzle (anything difficult to understand or make sense of)
est-ce-que
localisé	to locate/ to run to ground/ to run to earth
grognements	a grunt/ snarl/ growl
poèmes	poem (literary piece written in verse)
josé	a male given name
bouquet	bouquet/ bunch
bijou	a piece of jewelry
tournez-vous
majeur	greater/ larger/ more important
soutenu	to support
cellulaire	cellular
yale
men
bassin	pond/ ornamental lake/ basin
bonnet	beanie
psychologie	psychology
touchant	to touch (physically)
courent	to run
demanderais	to ask
secouer	to shake
peurs	fear
compréhension	comprehension/ understanding
plaintes	past participle of plaindre
nsa
di
mènent	to lead/ to take
tatouages	tattoo
aiguilles	needle
paniquer	to panic
sages	wise: prudent/ cautious/ and judicious
clairs	clear (see-through)
milliard	billion (10⁹)
donnais	to give/ to transfer the possession/holding of something to…
joyce
répété	to repeat
aimaient	to love (usually of a person/ otherwise the meaning is closer to…
pleuvoir	to rain
semestre	semester
becca
arrivons	to arrive (often followed by a location)
jaunes	yellow
discrétion	discretion
cognac	cognac
étonné	to surprise
racine	root (of a plant)
jurer	to swear (to promise by oath)
débiles	weak
violente	violent
gabe	inflection of gaber:
restaurants	restaurant
piloter	to pilot (control an aircraft)
médium	middle register
intimes	intimate
post	post (message on a blog/ etc.)
soulagé	to relieve/ soothe
bunker	bunker
capsule	capsule
éponge	sponge (creature)
luther
classes	plural of classe
rétablir	to restore
comprendras	to understand/ comprehend
blues	blues (depression)
nommer	to nominate
efface	eraser
lavage	washing (act of washing)
vicki
hi
préparent	to prepare
mâchoire	jaw/ jawbone
percer	to pierce
poster	to post/ (put in the) mail
robinson
malik
curé	priest bearing the responsibility of a parish
adrénaline	adrenaline (epinephrine/ the hormone and neurotransmitter)
ironique	ironic
avatar	avatar
tournant	to turn (left/ right etc.)
plonge	to dive
prostituées	whoring/ prostituting
essayent	to test/ to try on
viser	to aim/ to target
isabel
sécher	to dry
vortex	vortex
conseillé	to advise
parlaient	to speak/ talk
thon	tuna
cruelle	cruel
menacée	past participle of menacer
choqué	past participle of choquer
tirée	drawee
fais-toi	to do
continuera	to continue
goûté	to taste/ to try (to sample something orally)
maléfique	maleficent/ malevolent
side
ouf	phew!/ whew! (expressing relief)
toutefois	however/ nonetheless
égale	equal
localisation	localization
garrett
suffisait	third-person singular imperfect indicative of suffire
reproduire	to reproduce
sports	sport
rhum	rum
marshal
débarqué	to unload (merchandise)/ land (troops/ passengers)
wesley
buvait	to drink
apparences	appearance
sers-toi	to serve (to help in a shop/ to bring a meal to someone)
loup-garou	werewolf
après-demain	the day after tomorrow
servait	to serve (to help in a shop/ to bring a meal to someone)
cheryl
chrétiens	Christian
potter
merdier	mess/ jumble
brady
gilbert	a male given name/ equivalent to English Gilbert
refusent	to refuse
mord	to bite
nouvelle-orléans
réduction	reduction
distribution	delivery
provisions	provision
weaver
proprio	landlord
plongée	past participle of plonger
meurtrière	feminine singular of meurtrier
vendez	to sell
ignorait	to ignore
pr	abbreviation of professeur
sdf	initialism of sans domicile fixe: homeless person/ someone without…
porcs	pork
doive	must/ to have to/ should (as a requirement)
deuxièmement	secondly
anomalie	anomaly
alexis	a male given name from Ancient Greek
fitz
carbone	carbon
dit-il
fi	faugh/ fie/ bah/ pooh
clinton
indic	nark/ grass (informant)
chelsea	a municipality of Les Collines-de-l'Outaouais Regional County…
shepherd
distances	distance (literal physical distance)
einstein
boys	boy (non-white male servant)
barb
visible	visible
prévue	planned/ expected
ava
fidélité	faithfulness/ fidelity
perde	first/third-person singular present subjunctive of perdre
sérieuses	serious
salir	to dirty/ make dirty
zoé	a female given name/ equivalent to English Zoë
gail
réconfort
réagit	to react/ respond
croyant	to believe (someone)
politiciens	politician
satisfaction	satisfaction
foutent	to do/ to fuck around with/ to dick around/ to fritter/ to tinker
signale	to signal
autorisée	permitted/ allowed/ authorized
connais-tu
hôtesse	guest (one who is received)
remettra	to put back/ replace
triomphe	triumph
chargez	to load (up) (vehicle/ animal etc.)
acquis	past participle of acquérir
soupire	to sigh
butin	loot/ booty (the proceeds of theft/ robbery etc./ swag/ contraband)
concurrence	competition (action of competing)
trait	line
atlanta
informateur	informant/ informer – one who informs
signification	signification
fait-elle
horaire	schedule
dépit	scorn
vanter	to praise/ to vaunt
from
assurances	self-confidence
chiot	puppy (baby dog/ of either sex)
spa	a town and municipality in the province of Liège/ Wallonia/ Belgium
coque	shell (of an animal's egg)
burton
déguisé	to disguise (change someone's appearance to make him/her look…
garé	to cover/ shelter
aimant	to love (usually of a person/ otherwise the meaning is closer to…
producteurs	producer
indiquer	to connote (to signify beyond principal meaning)
diffusé	to diffuse
étrangères	foreign
news	news magazine or programme
pentagone	pentagon (a polygon with five sides and five angles)
protecteur	protector
ninja
forteresse	fortress
brisée	broken
précision	precision
prononce	to pronounce
conquérir	to conquer/ to capture
parlerons	to speak/ talk
mourras	to die/ to be dying
tabasser	beat up (to give a beating to)
bénéfice	profit/ earning
conception	conception (of a child)
more	mora
livreur	deliverer/ deliveryman
entendais	to hear
recommandé	to recommend/ to endorse
plaisait	to please/ to appeal to (usually translated into English as like…
défunt	(of a person) late/ deceased
larguer	to unfurl
potion	potion
parcouru	to go through/ to pass through
baxter
rassurer	to reassure
cuisses	thigh
gelé	to freeze
couverts	covered
affirme	inflection of affirmer:
toxique	toxic (having a harmful chemical nature)
hilarant	hilarious (very amusing/ very funny)
barres	bar/ cake/ ingot
montes	to go up/ to climb (go to a higher position)
librement	freely/ without restrictions
invente	to invent (to make something for the first time)
vieillard	an old man/ an old person
allées	past participle of aller
coupes	goblet/ cup
brun	brown (color/colour)
suivis	to follow (literal sense)
entrant	to enter
emballer	to pack up/ to wrap up/ to parcel
approuve	to approve of
grouille	to mill about/ swarm with people
addison
american
demandez-lui
sanchez
occupent	to occupy/ to take up
mails	maul
débarque	to unload (merchandise)/ land (troops/ passengers)
nasa	NASA
souvienne	first/third-person singular present subjunctive of souvenir
infini	endless/ ceaseless/ unending
ramenée	past participle of ramener
bouchée	past participle of boucher
condamner	to condemn
commode	convenient
tammy
vérification	verification
e-mails	An e-mail
crystal
make
chauffage	heating
adores	to love/ to adore
merdeux	shitty/ crap/ shit
couvent	to brood (an egg)
réservation	reservation
survivant	to survive
documentaire	documentary
diffusion	broadcasting/ showing
cross	cross-country
greffe	court clerk's office/ court registrar's office
whitney
disparais	to disappear
conserver	to keep (in a particular place)
réfugiés	past participle of réfugier
exagéré	to exaggerate
nœud	knot (tangle)
hormones	hormone
hm
fiancés	engaged
porteur	carrier (one who carries)
prends-en
lâche-le
craignais	to fear
relié	to connect/ link/ join/ relate to
droguée	past participle of droguer
humilier	to humiliate
carlo
applique	Any type of decoration applied or mounted to another object.
infiltré	past participle of infiltrer
ouaip	synonym of oui/ yeah/ yep/ yup/ yes/ affirmative expression
condamnés	convicted
patricia	a female given name/ equivalent to English Patricia
ià
won	won (unit of currency)
reconnue	past participle of reconnaître
puces	flea
bourrée	stuffed or filled to the very limit
individus	individual
péril	peril/ danger
semer	to sow (scatter seed/ etc.)
impatience	impatience (the quality of being impatient/ lacking patience/…
remonté	past participle of remonter
laisseront	to leave/ to leave behind
bisous	kiss (friendly kiss)
alexandre	a male given name/ equivalent to English Alexander
espionnage	espionage/ spying
géante	giant
suggérer	to suggest/ propose
calmement	calmly
acceptes	to accept
biscuit	biscuit (cookie)
heurté	to strike/ hit
chapeaux	hat
appuyez	to press/ push
prendrez	to take
phrases	sentence
britanniques	British
jai
aviez-vous
canyon	canyon
lori	lory (bird)
loterie	lottery (scheme for the distribution of prizes by lot or chance)
miettes	crumb (of bread or cake)
pièges	trap/ snare/ booby trap
gates
violents	violent
toux	cough
portland
par-là
finch
jasper	to apply different colors of paint flowing together in order to…
aimera	to love (usually of a person/ otherwise the meaning is closer to…
take
majeure	greater/ larger/ more important
recul	retreat/ climb-down
dirigeants	managing
immédiat	immediate
archie
olive	olive
vents	wind
stu
trêve	truce
hérité	to inherit (to receive property or a title by legal succession etc.)
visa	a mark or stamp attesting to the performance of an official action
tate
têtu	stubborn/ headstrong
griller	to toast (cook with a toaster)
lignée	lineage/ line (descent)
défaire	to take down/ take apart/ dismantle/ unpack (luggage)
épave	wreck (ship/ car/ etc.)
italiens	Italian (male)
indispensable	indispensable
meurtriers	deadly/ bloody (involving death)/ murderous
fréquente	to frequent/ to go to (a place)
mômes	kid/ brat
brûlures	burn (to the skin)
municipal	municipal
améliore	to improve/ better/ ameliorate
rich
petits-enfants	grandchild (child of someone’s child)
cote	call number
étapes	stage/ stop (on a journey)
application	application
générosité	generosity
reçus	to receive
soumettre	to submit
déception	disappointment
führer	the Führer/ the title of Adolf Hitler as ruler of Nazi Germany
séminaire	seminary
libérée	freed/ liberated/ released (made free/ set at liberty)
baisers	kiss
défier	to defy/ challenge
briggs
principalement	mainly/ principally
amelia
redevable	liable/ indebted
sherman
nourri	to feed (provide with nourishment)/ nourish
enverra	to send
ordi	computer/ comp/ puter
sal
meute	pack (of hounds)
regardée	past participle of regarder
yens	yen (currency)
colorado	Colorado/ Colorado River (a major river of western North America/…
aillent	to go
dite	past participle of dire
partais	to share/ to share out/ to divide
patienter	to be patient
coq	male chicken/ rooster/ cockerel/ cock
œuvres	work/ book/ piece
secondaires	secondary
minou	kitty/ pussy/ a small cat
dates	date (point in time)
debra
emmerder	to bug/ bother/ irritate "the shit out of" someone
salopes	slut (promiscuous woman)
pouces	thumb
créée	past participle of créer
anéantir	to wipe out/ to destroy/ to shatter
rentrait	third-person singular imperfect indicative of rentrer
fourrure	fur
demandera	to ask
fût	to be
dong
mule	mule (animal)
fourmis	ant
how
terrasse	to spread with soil
chorale	choral
occasions	occasion/ opportunity
cavalerie	cavalry
menthe	mint
préfet	prefect
climat	climate
installation	installation
verser	to pour
holt
stressé	to stress (cause stress to)
solutions	solution
secte	sect (offshoot of a larger religion or denomination/ usually and…
détectives	detective (police officer who looks for evidence)
bradley
foncé	dark (having a dark shade)
corrompu	to corrupt/ impair/ deprave
frappes	hit
insecte	insect
capture	capture
extrait	extract (to draw out)
lacey
prêtres	priest
bates
sentence	sentence
généreuse	generous/ kind
religieuse	feminine singular of religieux
dealers	drug dealer
matos	gear/ stuff
supposer	to suppose/ to think/ to reckon/ to surmise
attrapez	to trap (to capture in a trap)
compagnons	lifelong partner/ significant other
employée	employee
faisons-nous	to do
new-york
appelles-tu
reproche	blame/ the act of blaming
connasse	bastard/ jerk/ asshole
scoop	scoop (news learned and reported before anyone else)
boucler	to buckle (to fasten)
bella	a female given name from Italian
sinistre	scary
pauvreté	poverty
harriet
plaider	to plead
shannon
épais	thick
bourbon	bourbon
obligations	obligation
mortels	mortal
gangster	gangster
tait	to be quiet/ to be silent
paquets	packet
cuisinière	cook (“person/ occupation”): female equivalent of cuisinier
habites	to live in/ to occupy (to have as a home.)
poings	fist
bien-être	wellbeing
appliquer	to apply/ to put something on something else
ignorent	to ignore
commencera	to begin/ commence
brèche	gap/ hole
chaton	kitten/ kitty (baby cat)
embarque	to board (a vehicle)
say
préférable	preferable
bandit	bandit
wong
marks	mark (currency)
musulmans	Muslim
là-dessous
clowns	clown (performer)
harmonie	harmony
désintox
laisserait	to leave/ to leave behind
franchi	to clear/ to cross (a line)/ to pass (an obstacle etc.)/ to get…
insister	to insist/ emphasize
héro
tuez-le
hostile	hostile
trempé	to soak/ to drench/ to wet
woody
tete	inflection of teter:
réalisez	to direct (a movie)
décroché	to unhook/ remove from a hook
craignez	to fear
intermédiaire	intermediate
prophétie	prophecy
activé	past participle of activer
utilité	usefulness/ use
tremblement	shake/ tremble
habitait	to live in/ to occupy (to have as a home.)
utilisés	used/ in use
cite	inflection of citer:
placée	past participle of placer
ally
hallucinations	hallucination
saul
culs	butt/ bum/ ass/ arse
pancakes	pancake
filez	to spin (a web)
immatriculation	registration
entres	to enter
excitation	excitement
allumettes	match (small flammable object)
décollage	takeoff/ lift-off (e.g. of an aircraft from a surface into the air)
valley
embauche	hiring/ employment/ taking-on
asie	Asia (the largest continent/ located between Europe and the…
sourcils	eyebrow
close	feminine singular of clos
dot	dowry/ marriage portion
montréal	Montreal (an island on which is situated the largest city in…
amical	friendly/ amicable
quarante	forty
prendront	to take
vicky
avances	progression/ advance
froc	frock (clerical garment)
berceau	cradle/ crib (bed for a baby)
mesdemoiselles	A form of address or title for an unmarried woman: Miss
presser	to urge
moquez	to mock
powell
gregory
glen
chalet	chalet
heart
provenant	to originate (from)
danielle	a female given name/ masculine equivalent Daniel
apprenez	to learn
bert
martini
occupez	to occupy/ to take up
remettez	to put back/ replace
envoler	to take off/ to take flight
confesser	to acknowledge/ admit
francine	a female given name
vaughn
endommagé	to damage (to cause damage to something)
harceler	to hassle/ to bother/ to disrupt/ to harass
physiques	physical/ sportive
napoléon	Napoleon (Bonaparte)
cohen
z	The twenty-sixth letter of the French alphabet/ written in the…
parlions	to speak/ talk
motivation	motivation
révélation	revelation
tentant	to attempt
roland	a male given name/ equivalent to English Roland
indépendant	independent
prétends	to claim/ to allege
ernie
communistes	communist
serveurs	waiter (in restaurant)
piraté	to pirate
danseur	ballet dancer
servante	servant
jadis	long ago/ once/ yesteryear/ in times past/ yore
centimètres	centimetre
reposez-vous
rôti	to roast
anormal	abnormal
sentiras	to smell (to have a certain odor)
gages	pledge/ guarantee
insultes	to insult
émissions	to emit
couverte	covered
écartez-vous
désespérément	desperately
malins	nocive/ pernicious
discussions	debate/ argument (a civil exchange of contradictory points of view)
wang
introduire	to introduce
tue-moi
étendre	to spread/ to spread out/ to lay out
glaçons	icicle
mettrait	to put/ to place
crawford
volontairement	intentionally/ voluntarily
emballé	to pack up/ to wrap up/ to parcel
électriques	electric/ electrical
gotham
pleurait	to cry/ to weep/ to shed tears
inscription	registration/ enrolment
faisiez-vous
pitoyable	pitiful/ pathetic/ contemptible
évènement	event
muscle	muscle (contractile tissue/ strength)
rendus	an instance of rendering/ a render
répugnant	disgusting/ repugnant
beignets	beignet (fritter filled with fruit etc)
secrètes	secret
programmé	to program
montgomery
party	party (social gathering)
enfreint	to infringe
connaissaient	to know (of)/ to be familiar with (a person/ place/ fact/ event)
illégale	illegal/ not permitted by law
